id;biz_name;biz_logo_base_64;biz_photo_base_64;biz_address;biz_level;biz_email;biz_phone_number;biz_phone_code;biz_phone_iso_code;biz_website;biz_desc;enable;created_by_uid;updated_by_uid;modified_date;created_date
1;nor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;with gosh;25046;insignificant;zowie;energetically supportive;lest;gamma-ray;acclaimed;false;25088;14118;18867;15238
2;behind or;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ouch since;2516;incomplete;embrace safely functionality;supervene second excepting;afraid gravy that;lest whose ouch;beside;false;16069;31614;31708;22906
3;oof;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;oof hospitable amidst;27049;calmly indeed minus;brr edible except;rectangular meanwhile pacify;campaign;psst owl yahoo;crane hearty except;true;304;2635;10800;19801
4;scapegoat while boohoo;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ink quaintly extradite;28786;annotate bullet;of pen;behind itchy ride;subset;eek terrible tailbud;polish phooey vow;false;25650;29057;29471;20315
5;incomplete baggy sublimate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;good verbally;21227;locomotive closely;disastrous hilarious crossly;blissfully romanticize;by;provided outrun;qua;true;18184;16441;16238;1344
6;gracefully;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;suspiciously onto hard;1504;amongst parser furthermore;reward above pretty;altruistic;competitor noisily;boyhood;stuff kookily steep;false;23807;10091;31651;16747
7;when hence;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;grandiose coarsen boo;5881;jumbo lobotomise;instead ack sweltering;boat fooey drat;hmph whereas;field interpret vicious;where for;true;19469;26500;15595;24896
8;creative kookily really;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;anti;17043;nag;er loneliness hmph;waterski;incommode candle sign;bah powerfully;from;false;6214;23264;6311;1710
9;ugh boohoo about;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;diplomacy outrigger wide;27800;state;koala;dirndl preen;bitterly;however apud;and;true;9098;700;23546;22338
10;besides geez aha;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;a indeed;10174;indeed regal conception;yearly given phew;belly;equatorial after;while;message deeply sanctify;false;32663;19930;15374;18061
