id;profile_biz_id;biz_name;biz_category_name;name;qms_desc;lat;lng;time_zone;threshold;nearby_range;token_timeout_min;selected;enable;order_num;currency_symbol;len_metric;currency_code;banner_name;created_date;modified_date
1;27541;crusade;hypothesise astride devastate;if;blink;4287.4;32377.27;25152;7613;27518;23642;true;true;5035;Q;inside;MYR;mortified jovially;10727;14370
2;11481;tourism;wrongly competent;submit;provided astride;14683.45;13968.68;22768;8873;31337;25437;true;false;29381;CHF;before;GMD;fancy to;11856;18860
3;31301;few jealous during;other between;unwelcome vital equate;quickly outfit;28685.34;16188.42;3712;10273;1230;22115;false;false;6157;₩;whoever or safely;VND;diligent spotted derive;3772;29523
4;26802;prize;ah squirm;quill;mature showy;28286.97;22426.99;22295;4114;18505;32731;false;true;6592;$;emboss;SCR;shine shrilly;26103;20488
5;18894;huzzah;lest;behind;abjure booking;28459.38;25208.84;16124;30961;16673;1908;true;true;25121;$;correctly uselessly cyclooxygenase;TND;power;18400;29087
6;18420;wherever;ew;vineyard runny amid;neutralise notwithstanding supervision;11936.38;13221.57;24161;32734;20873;28882;true;true;922;Rbl;lest;BMD;shoddy yuck honestly;16081;25021
7;17088;indeed;tender;jovially nor;wherever flax willfully;3481.09;30528.04;8703;7350;28839;4249;true;true;2508;£;uh-huh tan badly;BIF;thoroughly puzzled;28400;30096
8;12414;size;zowie ouch big-hearted;unlike cheerfully;softly;15609.51;21625.28;29230;24947;5357;1422;true;false;28388;$;hence crowded pish;DZD;appropriate miserably regularly;12381;18124
9;2661;babyish;correctly the;mayor apud gossip;yowza as syrup;20005.32;24562.17;27653;8113;12005;25213;false;true;21259;Ft;lazily huzzah;BGN;nor angry;12249;18234
10;26264;throughout;uh-huh atop;inspect meh;until;21012.18;19109.26;21984;20298;5650;2567;true;true;12028;£;if ha gah;WST;pointless famously;10955;23660
