id;profile_biz_id;name;type;letter;start;qms_desc;enable;order_num;enable_catalog;created_date;modified_date
1;7038;shrilly;hurtful sleepily;concerned reasonable;4301;epithelium;false;4769;false;549;27132
2;32043;how;after officially;wholesale dramatic hungrily;4748;when submitter;false;19872;false;6891;12483
3;23446;however;meh;thankfully;4453;onto above;true;27683;false;31574;2918
4;23630;unhappy exhort;salty ew;brr broadside oof;29434;enthusiastically verbally astound;false;31922;true;27524;9801
5;7390;inhere;healthily belated;flashy boohoo easel;2840;hence mockingly repeatedly;true;8018;false;15388;17609
6;1169;that versify unless;frantically furthermore;what;17502;oatmeal;true;14460;true;12214;27634
7;10308;ultimate;forenenst once;concerning well-to-do;32276;far highly;true;26680;false;7141;22256
8;5161;key;wearily proliferate;pfft;28699;helplessly that;false;23989;false;20872;24791
9;24639;phew pare;upwardly fancy supposing;critic maim ick;32344;per what soon;true;21390;true;18870;6729
10;32683;deracinate stare;flowery brook eek;exemplary inspire;12886;nor after;false;14327;true;27564;4707
